Department|Attrition_Retention 2|Age group|Gender|Job Role|Attrition|Attrition Label|Education|Major|Age|Attrition Count|Attrition %|Attrition Date|Avg. Satisfaction Score|Dynamic Date|Employee No.|Employee Number|Environment Satisfaction|Job Involvement|Job Satisfaction|Monthly Income|Percent Salary Hike|Performance Rating|Relationship Satisfaction|Work Life Balance
Sales|Ex-Employees|35-44|Female|Sales Executive|Yes|Ex-Employees|Associates Degree|Life Sciences|41|1.0|0.010869565|4/30/2022|2.2|4/1/2022|E_1|1|2|3|4|5993|11|3|1|1
R & D|Current Employees|45-55|Male|Research Scientist|No|Current Employees|High School|Life Sciences|49||||2.8||E_2|2|3|2|2|5130|23|4|4|3
Research & Development|Ex-Employees|35-44|Male|Laboratory Technician|Yes|Ex-Employees|Associates Degree|Other|37|1.0|0.007518797|5/3/2022|2.8|5/1/2022|E_4|4|4|2|3|2090|15|3|2|3
Research & Development|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|33||||3.2||E_5|5|4|3|3|2909|11|3|3|3
R & D|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|High School|Medical|27||||2.6||E_7|7|1|3|2|3468|12|3|4|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|32||||3.2||E_8|8|4|3|4|3068|13|3|3|2
Research & Development|Current Employees|> 55|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|59||||2.2||E_10|10|3|4|1|2670|20|4|1|2
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|High School|Life Sciences|30||||3.0||E_11|11|4|3|3|2693|22|4|2|3
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|38||||2.8||E_12|12|4|2|3|9526|21|4|2|3
Research & Development|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Medical|36||||2.6||E_13|13|3|3|3|5237|13|3|2|2
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|35||||2.6||E_14|14|1|4|2|2426|13|3|3|3
Research & Development|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|29||||3.2||E_15|15|4|2|3|4193|12|3|4|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|High School|Life Sciences|31||||2.6||E_16|16|1|3|3|2911|17|3|4|2
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Medical|34||||3.0||E_18|18|2|3|4|2661|11|3|3|3
R & D|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|28|1.0|0.007518797|7/5/2021|2.6|7/1/2021|E_19|19|3|2|3|2028|14|3|2|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|29||||2.6||E_20|20|2|4|1|9980|11|3|3|3
R & D|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|32||||2.6||E_21|21|1|4|2|3298|12|3|4|2
Research & Development|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|Associates Degree|Medical|22||||3.2||E_22|22|4|4|4|2935|13|3|2|2
Sales|Current Employees|45-55|Female|Manager|No|Current Employees|Master's Degree|Life Sciences|53||||2.6||E_23|23|1|2|4|15427|16|3|3|3
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|38||||3.4||E_24|24|4|3|4|3944|11|3|3|3
Research & Development|Current Employees|< 25|Female|Manufacturing Director|No|Current Employees|Associates Degree|Other|24||||2.8||E_26|26|1|4|3|4011|18|3|4|2
Sales|Ex-Employees|35-44|Male|Sales Representative|Yes|Ex-Employees|Master's Degree|Life Sciences|36|1.0|0.010869565|1/16/2022|2.2|1/1/2022|E_27|27|3|2|1|3407|23|4|2|3
R & D|Current Employees|25-34|Female|Research Director|No|Current Employees|Master's Degree|Life Sciences|34||||2.4||E_28|28|1|3|2|11994|11|3|3|3
Research & Development|Current Employees|< 25|Male|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|21||||3.4||E_30|30|3|3|4|1232|14|3|4|3
Research & Development|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|High School|Medical|34|1.0|0.007518797|4/1/2022|2.4|4/1/2022|E_31|31|2|3|1|2960|11|3|3|3
Research & Development|Current Employees|45-55|Female|Manager|No|Current Employees|Bachelor's Degree|Other|53||||3.0||E_32|32|3|3|3|19094|11|3|4|2
Research & Development|Ex-Employees|25-34|Female|Research Scientist|Yes|Ex-Employees|High School|Life Sciences|32|1.0|0.007518797|10/13/2021|1.8|10/1/2021|E_33|33|2|1|1|3919|22|4|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|42||||3.0||E_35|35|3|3|2|6825|11|3|4|3
Research & Development|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Master's Degree|Medical|44||||2.8||E_36|36|1|2|4|10248|14|3|4|3
Sales|Current Employees|45-55|Female|Manager|No|Current Employees|Master's Degree|Marketing|46||||2.4||E_38|38|2|3|1|18947|12|3|4|2
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|33||||3.4||E_39|39|3|3|4|2496|11|3|4|3
Research & Development|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Master's Degree|Other|44||||3.8||E_40|40|4|3|4|6465|13|3|4|4
R & D|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Medical|30||||2.6||E_41|41|4|2|3|2206|13|3|1|3
Sales|Ex-Employees|35-44|Male|Sales Representative|Yes|Ex-Employees|Bachelor's Degree|Technical Degree|39|1.0|0.010869565|2/22/2022|3.6|2/1/2022|E_42|42|4|3|4|2086|14|3|3|4
R & D|Ex-Employees|< 25|Male|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Medical|24|1.0|0.007518797|5/6/2022|2.4|5/1/2022|E_45|45|2|3|4|2293|16|3|1|2
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Associates Degree|Medical|43||||3.4||E_46|46|4|4|3|2645|12|3|4|2
Sales|Ex-Employees|45-55|Male|Sales Representative|Yes|Ex-Employees|Associates Degree|Marketing|50|1.0|0.010869565|4/16/2022|2.4|4/1/2022|E_47|47|1|2|3|2683|14|3|3|3
Sales|Current Employees|35-44|Female|Sales Representative|No|Current Employees|Bachelor's Degree|Marketing|35||||3.0||E_49|49|4|3|4|2014|13|3|1|3
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|36||||2.6||E_51|51|2|2|1|3419|14|3|4|4
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|33||||2.4||E_52|52|3|4|1|5376|19|3|1|3
R & D|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Associates Degree|Other|35||||3.2||E_53|53|3|3|4|1951|12|3|3|3
Research & Development|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|27||||3.0||E_54|54|4|3|1|2341|13|3|4|3
R & D|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|26|1.0|0.007518797|6/22/2021|2.0|6/1/2021|E_55|55|1|1|3|2293|12|3|3|2
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|27||||3.4||E_56|56|4|3|3|8726|15|3|4|3
R & D|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Associates Degree|Medical|30||||3.4||E_57|57|3|3|4|4011|23|4|4|3
R & D|Ex-Employees|35-44|Female|Research Director|Yes|Ex-Employees|Bachelor's Degree|Technical Degree|41|1.0|0.007518797|11/2/2021|3.0|11/1/2021|E_58|58|2|3|3|19545|12|3|4|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|34||||2.8||E_60|60|2|3|3|4568|20|4|3|3
Research & Development|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|37||||2.2||E_61|61|2|3|2|3022|21|4|1|3
Sales|Current Employees|45-55|Male|Sales Executive|No|Current Employees|Master's Degree|Marketing|46||||2.8||E_62|62|1|3|4|5772|21|4|3|3
R & D|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|High School|Life Sciences|35||||3.8||E_63|63|4|4|4|2269|19|3|4|3
R & D|Ex-Employees|45-55|Male|Laboratory Technician|Yes|Ex-Employees|Associates Degree|Life Sciences|48|1.0|0.007518797|4/30/2022|2.6|4/1/2022|E_64|64|1|2|3|5381|13|3|4|3
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Master's Degree|Technical Degree|28|1.0|0.007518797|2/22/2022|2.8|2/1/2022|E_65|65|3|3|3|3441|13|3|3|2
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Doctoral Degree|Marketing|44||||2.2||E_68|68|2|3|1|5454|21|4|3|2
R & D|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Associates Degree|Medical|35||||2.4||E_70|70|3|2|1|9884|13|3|3|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|26||||2.8||E_72|72|3|2|4|4157|19|3|3|2
Research & Development|Current Employees|25-34|Female|Research Director|No|Current Employees|Associates Degree|Life Sciences|33||||2.8||E_73|73|1|3|4|13458|12|3|3|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Doctoral Degree|Life Sciences|35||||2.4||E_74|74|2|3|1|9069|22|4|4|2
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Master's Degree|Medical|35||||2.6||E_75|75|3|3|1|4014|15|3|3|3
R & D|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|31||||3.4||E_76|76|4|3|4|5915|22|4|4|2
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|37||||2.6||E_77|77|1|2|3|5993|18|3|3|4
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|32||||2.6||E_78|78|1|3|4|6162|22|4|2|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Doctoral Degree|Life Sciences|38||||3.6||E_79|79|4|3|4|2406|11|3|4|3
Research & Development|Current Employees|45-55|Female|Research Director|No|Current Employees|Associates Degree|Medical|50||||2.6||E_80|80|2|2|3|18740|12|3|4|2
Sales|Current Employees|> 55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|59||||2.2||E_81|81|1|3|1|7637|11|3|4|2
R & D|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Bachelor's Degree|Technical Degree|36||||2.8||E_83|83|3|3|3|10096|13|3|2|3
Research & Development|Current Employees|45-55|Female|Manager|No|Current Employees|Bachelor's Degree|Medical|55||||3.2||E_84|84|4|3|3|14756|14|3|3|3
R & D|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|36||||2.4||E_85|85|2|2|2|6499|13|3|3|3
R & D|Current Employees|45-55|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|45||||2.4||E_86|86|2|3|1|9724|17|3|3|3
